MB_CODE,month_date,MBASIN_E,twsa_cm,source_observations,valid_pixels,minimum_observation_date,maximum_observation_date,year,month,mission,month_name,observation_status,moving_average_12m_cm
01,2002-04-01,Salawin,-20.641111952292484,1.0,38.0,2002-04-18,2002-04-18,2002,4,GRACE,April,Observed,
01,2002-05-01,Salawin,-20.095879100024128,1.0,38.0,2002-05-10,2002-05-10,2002,5,GRACE,May,Observed,
01,2002-06-01,Salawin,,,,,,2002,6,GRACE,June,Missing,
01,2002-07-01,Salawin,,,,,,2002,7,GRACE,July,Missing,
01,2002-08-01,Salawin,20.95103692520993,1.0,38.0,2002-08-16,2002-08-16,2002,8,GRACE,August,Observed,7.1150011171743905
01,2002-09-01,Salawin,25.940557932701726,1.0,38.0,2002-09-16,2002-09-16,2002,9,GRACE,September,Observed,5.414932594801796
01,2002-10-01,Salawin,25.179270335834833,1.0,38.0,2002-10-16,2002-10-16,2002,10,GRACE,October,Observed,3.593095984915343
01,2002-11-01,Salawin,16.902090739143425,1.0,38.0,2002-11-16,2002-11-16,2002,11,GRACE,November,Observed,3.9700750855090687
01,2002-12-01,Salawin,6.635011223276893,1.0,38.0,2002-12-16,2002-12-16,2002,12,GRACE,December,Observed,4.888292650926471
01,2003-01-01,Salawin,2.0490328335449317,1.0,38.0,2003-01-16,2003-01-16,2003,1,GRACE,January,Observed,4.888292650926471
01,2003-02-01,Salawin,-8.185615584178963,1.0,38.0,2003-02-15,2003-02-15,2003,2,GRACE,February,Observed,5.153413089151308
01,2003-03-01,Salawin,-12.803433504062735,1.0,38.0,2003-03-16,2003-03-16,2003,3,GRACE,March,Observed,4.631087557492418
01,2003-04-01,Salawin,-16.871320946355226,1.0,38.0,2003-04-16,2003-04-16,2003,4,GRACE,April,Observed,4.1693124135475275
01,2003-05-01,Salawin,-10.913703445850112,1.0,38.0,2003-05-11,2003-05-11,2003,5,GRACE,May,Observed,3.449017481784102
01,2003-06-01,Salawin,,,,,,2003,6,GRACE,June,Missing,
01,2003-07-01,Salawin,7.804617471399691,1.0,38.0,2003-07-16,2003-07-16,2003,7,GRACE,July,Observed,1.6507358156889647
01,2003-08-01,Salawin,15.20545607696213,1.0,38.0,2003-08-16,2003-08-16,2003,8,GRACE,August,Observed,0.9857047415679535
01,2003-09-01,Salawin,20.86103134930793,1.0,38.0,2003-09-16,2003-09-16,2003,9,GRACE,September,Observed,0.3473736525148112
01,2003-10-01,Salawin,17.256026086437156,1.0,38.0,2003-10-16,2003-10-16,2003,10,GRACE,October,Observed,-0.3676424636099375
