MB_CODE,MBASIN_E,highest_storage_month,highest_mean_twsa_cm,lowest_storage_month,lowest_mean_twsa_cm,seasonal_amplitude_cm
16,Tonle Sap,October,27.385595888645813,March,-21.58884795784249,48.9744438464883
01,Salawin,September,21.51448047183608,April,-23.18300851001446,44.69748898185054
17,East Coast Gulf,October,23.911854856553642,May,-20.05812433188587,43.96997918843951
06,Ping,September,20.6052165431784,April,-22.003462087985028,42.60867863116343
07,Wang,September,21.176457827801883,April,-21.24389136260217,42.42034919040405
02,North Khong,September,22.243875505577908,April,-20.029028627359214,42.27290413293712
12,Pasak,October,20.745577802067732,April,-20.583713813080973,41.329291615148705
15,Bang Pakong,October,21.803471642134795,April,-19.40312557483813,41.20659721697292
05,Mun,October,22.425713141796766,April,-18.42506793735277,40.85078107914954
08,Yom,September,19.899543053390882,April,-20.627260978670677,40.52680403206156
04,Chi,October,21.416339515887298,April,-18.672012571202067,40.08835208708936
09,Nan,October,19.84427079902135,April,-20.231333190587264,40.07560398960861
10,Chao Phraya,October,19.601549301683313,April,-20.031070043669036,39.63261934535235
03,Northeast Khong,September,20.746781452235457,April,-17.874193692089374,38.62097514432483
11,Sakae Krang,October,18.749053101947414,April,-19.852112373989172,38.60116547593658
13,Tha Chin,October,17.545706205694984,April,-18.488153078670607,36.03385928436559
14,Mae Klong,October,16.644249690234794,April,-17.421087268085458,34.06533695832025
18,Phetchaburi - Prachuap Khiri Khan,October,10.33690092988183,June,-12.723200004660617,23.060100934542447
19,Peninsula - Upper East Coast,November,-5.7133460271839605,June,-24.32699523924951,18.61364921206555
22,Peninsula - West Coast,November,-2.8994759265374372,February,-19.425726696057808,16.52625076952037
21,Peninsula - Lower East Coast,November,6.641534974790368,June,-6.212191297000274,12.853726271790642
20,Thale Sap Songkhla,November,5.224035983303459,June,-6.474931027041612,11.698967010345072
