MB_CODE,MBASIN_E,number_of_observations,start_date,end_date,ols_slope_cm_per_year,ols_slope_mm_per_year,ols_p_value,ols_r_squared,mann_kendall_trend,mann_kendall_h,mann_kendall_p_value,mann_kendall_tau,sen_slope_cm_per_year,sen_slope_mm_per_year,sen_lower_cm_per_year,sen_upper_cm_per_year
19,Peninsula - Upper East Coast,236,2002-04-01,2024-10-01,-3.8466002838299898,-38.4660028382999,1.5520716199905866e-40,0.5327350160114852,decreasing,True,0.0,-0.5782185358817166,-3.1627159759097143,-31.627159759097143,-3.7311367914200084,-2.6675507138079237
22,Peninsula - West Coast,236,2002-04-01,2024-10-01,-3.0952213896535485,-30.952213896535486,1.4138502242116775e-37,0.5048238020104855,decreasing,True,0.0,-0.5467003245582401,-2.478963997210251,-24.78963997210251,-2.9716875054148257,-2.0910103199392105
15,Bang Pakong,236,2002-04-01,2024-10-01,-0.9561429128404779,-9.561429128404779,3.0854030907352865e-10,0.15605874498826564,decreasing,True,2.4763706640840155e-09,-0.26072845293905517,-0.8735838321558557,-8.735838321558557,-1.160816433791935,-0.6025186647693148
10,Chao Phraya,236,2002-04-01,2024-10-01,-0.8083057176033249,-8.083057176033249,3.0707524646922743e-08,0.12305643901021547,decreasing,True,1.3390931097312375e-07,-0.23058059862964297,-0.7956198429450974,-7.956198429450973,-1.1003513211526577,-0.5015578905495706
17,East Coast Gulf,236,2002-04-01,2024-10-01,-0.8794548498502502,-8.794548498502502,2.3534351293779385e-08,0.12499336119619454,decreasing,True,1.2460283227433422e-07,-0.23115759105661737,-0.7935517706304132,-7.935517706304132,-1.060162789530071,-0.4989799663465279
12,Pasak,236,2002-04-01,2024-10-01,-0.7734319387219838,-7.734319387219838,4.948669844662184e-07,0.10262292637988349,decreasing,True,1.640293575411178e-06,-0.20959249909844932,-0.7688186262800699,-7.688186262800699,-1.0790337956686804,-0.4515117696277197
13,Tha Chin,236,2002-04-01,2024-10-01,-0.7807367601273602,-7.807367601273602,4.223203720352757e-09,0.13741760279244408,decreasing,True,2.122436626450508e-08,-0.24493328525063107,-0.7648854331586934,-7.648854331586934,-1.0341678542169068,-0.49928969637339865
16,Tonle Sap,236,2002-04-01,2024-10-01,-0.9090577957515427,-9.090577957515427,2.742107160431596e-07,0.10699169707199845,decreasing,True,1.1583812224991163e-06,-0.2126217093400649,-0.7441533259252622,-7.441533259252622,-1.0665200499216747,-0.4657546921573553
18,Phetchaburi - Prachuap Khiri Khan,236,2002-04-01,2024-10-01,-0.6889398985206961,-6.889398985206961,4.707298661227025e-14,0.21608218728388337,decreasing,True,2.4875657089751257e-12,-0.3062387306166607,-0.6801622673032435,-6.801622673032435,-0.8565796756556602,-0.49334540222581513
20,Thale Sap Songkhla,236,2002-04-01,2024-10-01,-0.6388367556365611,-6.38836755636561,2.1905207067821074e-20,0.30692541395756956,decreasing,True,0.0,-0.37958889289578074,-0.6167816925472573,-6.167816925472573,-0.7465027635633832,-0.49089938293341584
14,Mae Klong,236,2002-04-01,2024-10-01,-0.6089411578079083,-6.0894115780790825,8.789565054994612e-07,0.09835798196693214,decreasing,True,1.8250448132750563e-06,-0.20865488640461594,-0.584969890098352,-5.84969890098352,-0.8303489957044627,-0.35233350374011435
11,Sakae Krang,236,2002-04-01,2024-10-01,-0.5830800838469108,-5.8308008384691075,2.8967049676214747e-05,0.07214388616772864,decreasing,True,5.137063020321797e-05,-0.17706455102776775,-0.5745384052599878,-5.745384052599878,-0.8476813852956077,-0.3031887498466221
05,Mun,236,2002-04-01,2024-10-01,-0.5358269226796173,-5.358269226796173,0.00026762369514224307,0.05530371669767084,decreasing,True,0.0005428035773200612,-0.15124413992066355,-0.49925578358639555,-4.9925578358639555,-0.7778914725194742,-0.22003127901924857
09,Nan,236,2002-04-01,2024-10-01,-0.48582353880312695,-4.85823538803127,0.0012750252321415778,0.04347311495062519,decreasing,True,0.0014319393604396158,-0.13941579516768843,-0.4804555171007785,-4.8045551710077845,-0.7798574894071056,-0.18615976727911185
08,Yom,236,2002-04-01,2024-10-01,-0.4662784917245699,-4.662784917245699,0.0021608457673154904,0.039488424827382546,decreasing,True,0.002684650292398949,-0.1312657771366751,-0.4550950455349063,-4.550950455349064,-0.7588173513068704,-0.1694428003251292
