month_date,mean_twsa,median_twsa,std_twsa,min_twsa,max_twsa,observation_count,is_observed,is_missing,year,month,year_month,moving_average_12m,linear_trend
2002-04-01,-6.410036834423173,-13.591580390930176,27.23525776890522,-24.595176696777344,145.43336486816406,1.0,True,False,2002,4,2002-04,,5.266376051139787
2002-05-01,-4.850019055579057,-11.206482887268066,25.03216472069989,-26.616958618164062,138.58013916015625,1.0,True,False,2002,5,2002-05,,5.1989779566215475
2002-06-01,,,,,,,False,True,2002,6,2002-06,19.239159889551562,
2002-07-01,,,,,,,False,True,2002,7,2002-07,19.17803908669187,
2002-08-01,26.65004335358933,22.203996658325195,22.607516261155197,-16.47584342956543,135.80174255371094,1.0,True,False,2002,8,2002-08,17.870088838067783,4.996783673066375
2002-09-01,35.413547778612624,31.15196990966797,20.3240298324124,-12.750738143920898,141.3278045654297,1.0,True,False,2002,9,2002-09,16.386859203148337,4.929385578547908
2002-10-01,34.948083435229734,29.693622589111328,18.797506452703534,-1.0392484664916992,131.32432556152344,1.0,True,False,2002,10,2002-10,14.831262633331693,4.8619874840294415
2002-11-01,29.683340659879914,24.420848846435547,19.821823845877688,7.664595127105713,132.72067260742188,1.0,True,False,2002,11,2002-11,14.900488067835614,4.794589389510975
2002-12-01,18.811314269533725,12.669501304626465,21.986051238220725,3.9036953449249268,133.45513916015625,1.0,True,False,2002,12,2002-12,15.360012581894868,4.7271912949927355
2003-01-01,8.714437097699184,3.5924489498138428,18.60978080806417,-2.79335355758667,115.96793365478516,1.0,True,False,2003,1,2003-01,15.360012581894868,4.659793200474041
2003-02-01,4.521022123792754,-1.9923712015151978,22.47772959415987,-10.065667152404785,133.8066864013672,1.0,True,False,2003,2,2003-02,14.972289919803465,4.592395105955802
2003-03-01,0.8308935049818842,-6.353111267089844,22.52797045851319,-16.9046630859375,133.74609375,1.0,True,False,2003,3,2003-03,14.377040650450265,4.5249970114373355
2003-04-01,-5.717782489383962,-10.739742279052734,19.586381484493227,-21.709938049316406,112.4850082397461,1.0,True,False,2003,4,2003-04,13.573547855457969,4.457598916918869
2003-05-01,-0.2547739149865124,-5.40390157699585,20.43323629867578,-18.16680145263672,120.65331268310547,1.0,True,False,2003,5,2003-05,12.802737114274178,4.3902008224006295
2003-06-01,,,,,,,False,True,2003,6,2003-06,11.920812148246716,
2003-07-01,11.095063298889443,6.108531475067139,20.363001654085167,-15.53014850616455,137.85528564453125,1.0,True,False,2003,7,2003-07,11.277359542157905,4.255404633363696
2003-08-01,20.102301390704127,14.83554458618164,20.116890314986904,-15.147300720214844,119.74669647216797,1.0,True,False,2003,8,2003-08,10.859384627418523,4.188006538845229
2003-09-01,26.575127033697367,24.292526245117188,13.94416533857553,-11.302444458007812,102.67095184326172,1.0,True,False,2003,9,2003-09,10.260512598073573,4.12060844432699
2003-10-01,26.469165282208046,22.661489486694336,15.254410959123076,0.4785197973251343,105.13780212402344,1.0,True,False,2003,10,2003-10,9.407411270723072,4.0532103498085235
2003-11-01,19.982166033577816,12.51918888092041,23.672577905329558,4.568724632263184,138.7315216064453,1.0,True,False,2003,11,2003-11,9.158193187954765,3.985812255290057
2003-12-01,11.73333560255681,4.10147762298584,25.757906722646243,-7.487562656402588,147.65980529785156,1.0,True,False,2003,12,2003-12,8.60026408933297,3.9184141607718175
2004-01-01,4.116713035565986,-2.29307222366333,28.21958448001846,-17.50659942626953,172.4235382080078,1.0,True,False,2004,1,2004-01,8.642765508396115,3.8510160662531234
2004-02-01,-2.066570199001715,-9.25972843170166,22.955431185950914,-22.101823806762695,125.87474822998047,1.0,True,False,2004,2,2004-02,9.075477890854495,3.783617971734884
2004-03-01,-8.553221095873612,-13.018884658813477,19.292038966488647,-28.413917541503906,104.47491455078125,1.0,True,False,2004,3,2004-03,9.789499203174465,3.7162198772164174
2004-04-01,-8.459181399835346,-14.320903778076172,23.158685429339805,-29.816835403442383,117.47344970703125,1.0,True,False,2004,4,2004-04,10.232197514554558,3.6488217826979508
2004-05-01,-6.391993999826235,-11.087874412536621,22.57457567314038,-28.3997802734375,121.57179260253906,1.0,True,False,2004,5,2004-05,10.201726165553398,3.5814236881797115
2004-06-01,9.110281118090695,4.128327369689941,22.96216663632696,-20.020816802978516,150.93540954589844,1.0,True,False,2004,6,2004-06,9.608394420517945,3.514025593661245
2004-07-01,16.28761188839003,13.334525108337402,18.361437798265865,-13.729323387145996,128.63511657714844,1.0,True,False,2004,7,2004-07,8.96326719825118,3.446627499142778
2004-08-01,28.670557138543742,24.98284912109375,21.207088570237975,-17.194520950317383,127.25081634521484,1.0,True,False,2004,8,2004-08,7.702335797948425,3.3792294046243114
2004-09-01,31.887506770258486,30.643138885498047,16.02840572762085,-4.553197383880615,113.55418395996094,1.0,True,False,2004,9,2004-09,6.65477413529673,3.311831310106072
2004-10-01,26.103509094194116,20.106597900390625,21.20012036837205,8.206337928771973,138.60548400878906,1.0,True,False,2004,10,2004-10,5.8530582835103955,3.2444332155876054
2004-11-01,12.862185093152368,7.176023483276367,21.258642744744677,2.160862445831299,136.3915252685547,1.0,True,False,2004,11,2004-11,4.848670386173975,3.1770351210691388
2004-12-01,3.991808935355627,-1.125720739364624,16.245703882679997,-4.290018558502197,90.33236694335938,1.0,True,False,2004,12,2004-12,3.5160688981636223,3.1096370265508995
2005-01-01,-11.014463768067046,-14.16435718536377,8.32320397449136,-20.264476776123047,16.633991241455078,1.0,True,False,2005,1,2005-01,1.5802661837828895,3.0422389320322054
2005-02-01,-14.637310150822062,-18.165300369262695,10.222145156681803,-25.305009841918945,25.98194122314453,1.0,True,False,2005,2,2005-02,-0.34878010665899034,2.974840837513966
2005-03-01,-18.173811317309628,-22.625375747680664,11.029394911711774,-26.048471450805664,22.073762893676758,1.0,True,False,2005,3,2005-03,-2.0579632786147517,2.9074427429954994
2005-04-01,-20.511836167872385,-22.717121124267578,8.955326552630666,-32.497703552246094,6.590739727020264,1.0,True,False,2005,4,2005-04,-3.378266532887654,2.8400446484770328
2005-05-01,-22.383211855950474,-22.958126068115234,5.963120410900047,-34.907630920410156,1.8371461629867554,1.0,True,False,2005,5,2005-05,-4.1777465806032215,2.772646553958566
2005-06-01,-14.119351454478096,-14.489555358886719,4.5820687684610775,-27.348989486694336,3.870152235031128,1.0,True,False,2005,6,2005-06,-4.142496311909969,2.7052484594403268
2005-07-01,-6.860943596912534,-6.958592891693115,4.019826084727894,-25.402286529541016,6.829782485961914,1.0,True,False,2005,7,2005-07,-4.041472555274074,2.63785036492186
2005-08-01,8.160359075074602,8.385575294494629,6.945143120522831,-15.52196216583252,38.67583465576172,1.0,True,False,2005,8,2005-08,-3.2324532867221496,2.5704522704033934
2005-09-01,16.043867718983662,18.541975021362305,7.2620135382125195,-12.217428207397461,33.20643615722656,1.0,True,False,2005,9,2005-09,-2.7472692464475617,2.503054175885154
2005-10-01,16.5097485216073,16.461130142211914,5.216236341575411,-1.9737411737442017,39.26762771606445,1.0,True,False,2005,10,2005-10,-2.256983254770436,2.43565608136646
2005-11-01,13.285188317471405,12.835749626159668,4.174852669580151,4.67996883392334,37.206809997558594,1.0,True,False,2005,11,2005-11,-1.8087725762533189,2.3682579868482208
2005-12-01,5.204094014986379,3.1605286598205566,6.253713461723089,-0.14449886977672577,42.69990158081055,1.0,True,False,2005,12,2005-12,-0.8447630353223606,2.300859892329754
2006-01-01,-1.3062325454439683,-4.4214935302734375,10.12594932306307,-9.4946928024292,45.13835525512695,1.0,True,False,2006,1,2006-01,-0.02702040142622623,2.2334617978112874
2006-02-01,-8.815101667527006,-11.493253707885742,8.038926796322132,-19.900672912597656,23.513254165649414,1.0,True,False,2006,2,2006-02,0.911522980056124,2.166063703293048
2006-03-01,-12.29037941718412,-15.485869407653809,9.68940905260656,-22.908212661743164,40.108253479003906,1.0,True,False,2006,3,2006-03,1.5355880925566012,2.0986656087745814
2006-04-01,-15.133308025666981,-17.42066764831543,6.948923894018749,-24.627037048339844,17.668027877807617,1.0,True,False,2006,4,2006-04,1.878416898659941,2.0312675142561147
2006-05-01,-10.815097364778975,-11.385406494140625,4.845337966857385,-19.86117935180664,5.666368007659912,1.0,True,False,2006,5,2006-05,2.6556784387422563,1.963869419737648
2006-06-01,-4.306439847724483,-3.5734729766845703,4.716459507944611,-20.99951171875,9.261984825134277,1.0,True,False,2006,6,2006-06,2.584804471337579,1.8964713252194088
2006-07-01,4.401576980875667,3.0837464332580566,7.628807456264899,-18.48717498779297,35.858154296875,1.0,True,False,2006,7,2006-07,2.4596969594469864,1.829073230700942
2006-08-01,15.64914042508033,17.922164916992188,7.5701822745580705,-16.017271041870117,39.942405700683594,1.0,True,False,2006,8,2006-08,2.0362182287861255,1.7616751361824754
2006-09-01,20.15781339222374,23.68596839904785,9.81240593693056,-8.021197319030762,37.04542541503906,1.0,True,False,2006,9,2006-09,1.6827694506522188,1.694277041664236
2006-10-01,25.83688700259508,27.834659576416016,8.43463576039792,0.6786854863166809,45.655853271484375,1.0,True,False,2006,10,2006-10,1.4645833748831525,1.626878947145542
2006-11-01,12.43470070861528,13.497193336486816,6.752663805686019,-22.706348419189453,24.25507926940918,1.0,True,False,2006,11,2006-11,1.4065211061228773,1.5594808526273027
2006-12-01,3.7028038722992633,4.047828197479248,5.344499145738829,-22.355440139770508,25.08089256286621,1.0,True,False,2006,12,2006-12,1.3822363486827534,1.492082758108836
2007-01-01,-6.3879773133743,-6.5703864097595215,5.633311405604054,-24.999004364013672,27.054275512695312,1.0,True,False,2007,1,2007-01,1.2492560489762272,1.4246846635903694
2007-02-01,-13.056487005133878,-12.52139949798584,6.641774808613944,-42.17546463012695,6.7273077964782715,1.0,True,False,2007,2,2007-02,0.810008819711436,1.3572865690719027
2007-03-01,-14.908612326412918,-16.807979583740234,6.123647163782688,-24.522397994995117,14.294753074645996,1.0,True,False,2007,3,2007-03,-0.11957243330564597,1.2898884745536634
2007-04-01,-15.830055250790288,-18.34864616394043,6.631752865004757,-25.106340408325195,6.549332618713379,1.0,True,False,2007,4,2007-04,-0.7987222182674504,1.2224903800351967
2007-05-01,-11.106514454060456,-10.665614128112793,3.108499532582317,-19.358280181884766,3.7129411697387695,1.0,True,False,2007,5,2007-05,-1.487178699787772,1.15509228551673
